day,rank,keyword,region,match,bid,pred_conv,pred_clicks,predicted_profit
2025-10-03,10,ai for executives,A,Exact match,11.180130687818192,131.42330237998203,-1.2657610708939795,145.57467657212942
2025-10-04,1,ai graphic design course,B,Exact match,48.85199367995108,494.36032485799797,1.0000000000000053,445.5083311780466
2025-10-04,2,best place to study artificial intelligence,A,Exact match,33.95820829559597,339.2109339566391,1.0000000000001217,305.252725661039
2025-10-04,3,best place to study artificial intelligence,B,Exact match,33.95820829559527,341.2066661369625,1.0000000000000044,307.2484578413671
2025-10-04,4,best place to study artificial intelligence,A,Phrase match,29.558548660279587,315.8150982250168,1.0000000000000044,286.2565495647371
2025-10-04,5,best place to study artificial intelligence,B,Phrase match,29.558548660279587,315.5656317024755,1.0000000000000044,286.0070830421958
2025-10-04,6,generative ai fundamentals,A,Exact match,28.21142041024607,281.61442939108053,1.0000000000000044,253.40300898083433
2025-10-04,7,generative ai fundamentals,B,Exact match,28.156644247008664,281.0777845115366,0.9908726655726747,253.17813537292162
2025-10-04,8,artificial intelligence bootcamp online,USA,Exact match,24.52748396543954,242.7506741817628,1.000000000000007,218.22319021632308
2025-10-04,9,best place to study artificial intelligence,C,Exact match,21.842945630505284,225.00748189773344,1.000000000000004,203.16453626722807
2025-10-04,10,ai executive education,B,Exact match,12.868244001360297,158.28388836439126,1.0000000000000062,145.41564436303088
2025-10-05,1,ai graphic design course,A,Exact match,48.02008378434777,481.22073050894005,0.8613791221983469,439.8572328908875
2025-10-05,2,ai graphic design course,B,Exact match,48.02008378434777,486.21006095976566,0.8613791221983469,444.8465633417131
2025-10-05,3,ai graphic design course,USA,Exact match,48.02008378434303,483.2164626892239,0.8613791221975564,441.85296507121336
2025-10-05,4,executive education ai,B,Exact match,11.239120738812783,154.95958932836632,0.8962235355704589,144.88682480312426
2025-10-05,5,executive education ai,A,Exact match,11.239118552652949,157.20476661331784,0.8962231712913502,147.13200814153976
2025-10-05,6,executive education ai,USA,Exact match,10.752391264811846,139.2145487257357,0.8959858418198514,129.58055838675685
2025-10-05,7,artificial intelligence online program,C,Exact match,10.2684297653702,121.74017278447887,0.8957604765482527,112.5421192444486
2025-10-05,8,course generator ai,B,Exact match,9.95504128531438,137.81911407440037,0.8955395124013532,128.90398125581459
2025-10-05,9,course generator ai,A,Exact match,9.955041285311031,148.15046292211042,1.075499564345148,137.44382035672044
2025-10-05,10,generative ai course online,B,Exact match,5.422131691782639,84.8469489317548,0.9033313583626166,79.94896734539579
2025-10-06,1,ai graphic design course,USA,Exact match,48.85199367995246,491.36672658751615,1.0000000000002363,442.5147329075522
2025-10-06,2,ai graphic design course,B,Exact match,48.85199367995246,494.3603248580115,1.0000000000002363,445.5083311780475
2025-10-06,3,ai graphic design course,A,Exact match,48.85199367995178,489.3709944071793,1.0000000000001226,440.5190007272215
2025-10-06,4,ai for executives,B,Exact match,25.50566936694006,261.2937453255186,1.0000000000000044,235.78807595857845
2025-10-06,5,ai for executives,A,Exact match,24.777714874569686,264.63953178915995,1.0000000000000067,239.8618169145901
2025-10-06,6,ai for executives,USA,Exact match,24.77771487456967,268.38152962727906,1.000000000000004,243.6038147527093
2025-10-06,7,artificial intelligence bootcamp online,USA,Exact match,24.527483965439522,242.75067418176263,1.0000000000000044,218.223190216323
2025-10-06,8,artificial intelligence bootcamp online,USA,Phrase match,18.914566842840564,204.72436089704576,1.000000000000123,185.80979405420285
2025-10-06,9,artificial intelligence bootcamp online,A,Phrase match,18.671915345383066,199.10402694297142,1.0000000000000058,180.43211159758823
2025-10-06,10,ai executive education,B,Exact match,12.868244001360308,158.28388836439137,1.000000000000008,145.41564436303096
2025-10-07,1,ai graphic design course,USA,Exact match,48.85199367995246,491.36672658751615,1.0000000000002363,442.5147329075522
2025-10-07,2,ai graphic design course,B,Exact match,48.85199367995246,494.3603248580115,1.0000000000002363,445.5083311780475
2025-10-07,3,ai graphic design course,A,Exact match,48.85199367995178,489.3709944071793,1.0000000000001226,440.5190007272215
2025-10-07,4,ai for executives,B,Exact match,25.50566936694006,261.2937453255186,1.0000000000000044,235.78807595857845
2025-10-07,5,ai for executives,A,Exact match,24.777714874569686,264.63953178915995,1.0000000000000067,239.8618169145901
2025-10-07,6,ai for executives,USA,Exact match,24.77771487456967,268.38152962727906,1.000000000000004,243.6038147527093
2025-10-07,7,artificial intelligence bootcamp online,USA,Exact match,24.527483965439522,242.75067418176263,1.0000000000000044,218.223190216323
2025-10-07,8,artificial intelligence bootcamp online,USA,Phrase match,18.914566842840564,204.72436089704576,1.000000000000123,185.80979405420285
2025-10-07,9,artificial intelligence bootcamp online,A,Phrase match,18.671915345383066,199.10402694297142,1.0000000000000058,180.43211159758823
2025-10-07,10,ai executive education,B,Exact match,12.868244001360308,158.28388836439137,1.000000000000008,145.41564436303096
2025-10-08,1,ai graphic design course,B,Exact match,48.85199367995246,494.3603248580115,1.0000000000002363,445.5083311780475
2025-10-08,2,ai graphic design course,USA,Exact match,48.85199367995246,491.36672658751615,1.0000000000002363,442.5147329075522
2025-10-08,3,ai graphic design course,A,Exact match,48.85199367995178,489.3709944071793,1.0000000000001226,440.5190007272215
2025-10-08,4,ai for executives,A,Exact match,24.77771487456967,264.63953178915983,1.000000000000004,239.86181691459007
2025-10-08,5,ai for executives,USA,Exact match,24.77771487456967,268.38152962727906,1.000000000000004,243.6038147527093
2025-10-08,6,artificial intelligence bootcamp online,USA,Exact match,24.527483965440222,242.75067418176948,1.0000000000001208,218.2231902163263
2025-10-08,7,ai for executives,B,Exact match,20.65729817271449,213.794004165607,0.19211747040895233,209.8253762951816
2025-10-08,8,artificial intelligence bootcamp online,USA,Phrase match,18.914566842839857,204.72436089703888,1.0000000000000049,185.80979405419893
2025-10-08,9,artificial intelligence bootcamp online,A,Phrase match,18.671915345383066,199.10402694297142,1.0000000000000058,180.43211159758823
2025-10-08,10,ai executive education,B,Exact match,12.868244001360992,158.28388836439808,1.0000000000001217,145.4156443630355
2025-10-09,1,ai graphic design course,B,Exact match,48.85199367995246,494.3603248580115,1.0000000000002363,445.5083311780475
2025-10-09,2,ai graphic design course,USA,Exact match,48.85199367995246,491.36672658751615,1.0000000000002363,442.5147329075522
2025-10-09,3,ai graphic design course,A,Exact match,48.85199367995178,489.3709944071793,1.0000000000001226,440.5190007272215
2025-10-09,4,ai for executives,A,Exact match,24.77771487456967,264.63953178915983,1.000000000000004,239.86181691459007
2025-10-09,5,ai for executives,USA,Exact match,24.77771487456967,268.38152962727906,1.000000000000004,243.6038147527093
2025-10-09,6,artificial intelligence bootcamp online,USA,Exact match,24.527483965440222,242.75067418176948,1.0000000000001208,218.2231902163263
2025-10-09,7,ai for executives,B,Exact match,20.65729817271449,213.794004165607,0.19211747040895233,209.8253762951816
2025-10-09,8,artificial intelligence bootcamp online,USA,Phrase match,18.914566842839857,204.72436089703888,1.0000000000000049,185.80979405419893
2025-10-09,9,artificial intelligence bootcamp online,A,Phrase match,18.671915345383066,199.10402694297142,1.0000000000000058,180.43211159758823
2025-10-09,10,ai executive education,B,Exact match,12.868244001360992,158.28388836439808,1.0000000000001217,145.4156443630355
2025-10-10,1,ai graphic design course,B,Exact match,48.85199367995246,494.3603248580115,1.0000000000002363,445.5083311780475
2025-10-10,2,ai graphic design course,USA,Exact match,48.85199367995246,491.36672658751615,1.0000000000002363,442.5147329075522
2025-10-10,3,ai graphic design course,A,Exact match,48.85199367995178,489.3709944071793,1.0000000000001226,440.5190007272215
2025-10-10,4,ai for executives,A,Exact match,24.77771487456967,264.63953178915983,1.000000000000004,239.86181691459007
2025-10-10,5,ai for executives,USA,Exact match,24.77771487456967,268.38152962727906,1.000000000000004,243.6038147527093
2025-10-10,6,artificial intelligence bootcamp online,USA,Exact match,24.527483965440222,242.75067418176948,1.0000000000001208,218.2231902163263
2025-10-10,7,ai for executives,B,Exact match,20.65729817271449,213.794004165607,0.19211747040895233,209.8253762951816
2025-10-10,8,artificial intelligence bootcamp online,USA,Phrase match,18.914566842839857,204.72436089703888,1.0000000000000049,185.80979405419893
2025-10-10,9,artificial intelligence bootcamp online,A,Phrase match,18.671915345383066,199.10402694297142,1.0000000000000058,180.43211159758823
2025-10-10,10,ai executive education,B,Exact match,12.868244001360992,158.28388836439808,1.0000000000001217,145.4156443630355
2025-10-11,1,ai graphic design course,USA,Exact match,48.85199367995246,491.36672658751615,1.0000000000002363,442.5147329075522
2025-10-11,2,ai graphic design course,B,Exact match,48.85199367995246,494.3603248580115,1.0000000000002363,445.5083311780475
2025-10-11,3,ai graphic design course,A,Exact match,48.85199367995178,489.3709944071793,1.0000000000001226,440.5190007272215
2025-10-11,4,ai for executives,B,Exact match,25.505669366940765,261.2937453255255,1.0000000000001217,235.78807595858163
2025-10-11,5,ai for executives,A,Exact match,24.77771487457037,264.63953178916665,1.0000000000001212,239.86181691459328
2025-10-11,6,ai for executives,USA,Exact match,24.77771487456967,268.38152962727906,1.000000000000004,243.6038147527093
2025-10-11,7,artificial intelligence bootcamp online,USA,Exact match,24.527483965439522,242.75067418176263,1.0000000000000044,218.223190216323
2025-10-11,8,artificial intelligence bootcamp online,USA,Phrase match,18.914566842839857,204.72436089703888,1.0000000000000049,185.80979405419893
2025-10-11,9,artificial intelligence bootcamp online,A,Phrase match,18.671915345383066,199.10402694297142,1.0000000000000058,180.43211159758823
2025-10-11,10,ai executive education,B,Exact match,12.868244001360297,158.28388836439126,1.0000000000000062,145.41564436303088
2025-10-12,1,ai graphic design course,USA,Exact match,48.85199367995246,491.36672658751615,1.0000000000002363,442.5147329075522
2025-10-12,2,ai graphic design course,B,Exact match,48.85199367995246,494.3603248580115,1.0000000000002363,445.5083311780475
2025-10-12,3,ai graphic design course,A,Exact match,48.85199367995178,489.3709944071793,1.0000000000001226,440.5190007272215
2025-10-12,4,ai for executives,B,Exact match,25.505669366940765,261.2937453255255,1.0000000000001217,235.78807595858163
2025-10-12,5,ai for executives,A,Exact match,24.77771487457037,264.63953178916665,1.0000000000001212,239.86181691459328
2025-10-12,6,ai for executives,USA,Exact match,24.77771487456967,268.38152962727906,1.000000000000004,243.6038147527093
2025-10-12,7,artificial intelligence bootcamp online,USA,Exact match,24.527483965439522,242.75067418176263,1.0000000000000044,218.223190216323
2025-10-12,8,artificial intelligence bootcamp online,USA,Phrase match,18.914566842839857,204.72436089703888,1.0000000000000049,185.80979405419893
2025-10-12,9,artificial intelligence bootcamp online,A,Phrase match,18.671915345383066,199.10402694297142,1.0000000000000058,180.43211159758823
2025-10-12,10,ai executive education,B,Exact match,12.868244001360297,158.28388836439126,1.0000000000000062,145.41564436303088
2025-10-13,1,ai graphic design course,USA,Exact match,48.85199367995246,491.36672658751615,1.0000000000002363,442.5147329075522
2025-10-13,2,ai graphic design course,B,Exact match,48.85199367995246,494.3603248580115,1.0000000000002363,445.5083311780475
2025-10-13,3,ai graphic design course,A,Exact match,48.85199367995178,489.3709944071793,1.0000000000001226,440.5190007272215
2025-10-13,4,ai for executives,B,Exact match,25.505669366940765,261.2937453255255,1.0000000000001217,235.78807595858163
2025-10-13,5,ai for executives,A,Exact match,24.77771487457037,264.63953178916665,1.0000000000001212,239.86181691459328
2025-10-13,6,ai for executives,USA,Exact match,24.77771487456967,268.38152962727906,1.000000000000004,243.6038147527093
2025-10-13,7,artificial intelligence bootcamp online,USA,Exact match,24.527483965439522,242.75067418176263,1.0000000000000044,218.223190216323
2025-10-13,8,artificial intelligence bootcamp online,USA,Phrase match,18.914566842839857,204.72436089703888,1.0000000000000049,185.80979405419893
2025-10-13,9,artificial intelligence bootcamp online,A,Phrase match,18.671915345383066,199.10402694297142,1.0000000000000058,180.43211159758823
2025-10-13,10,ai executive education,B,Exact match,12.868244001360297,158.28388836439126,1.0000000000000062,145.41564436303088
2025-10-14,1,ai graphic design course,USA,Exact match,48.85199367995246,491.36672658751615,1.0000000000002363,442.5147329075522
2025-10-14,2,ai graphic design course,B,Exact match,48.85199367995246,494.3603248580115,1.0000000000002363,445.5083311780475
2025-10-14,3,ai graphic design course,A,Exact match,48.85199367995178,489.3709944071793,1.0000000000001226,440.5190007272215
2025-10-14,4,ai for executives,B,Exact match,25.505669366940765,261.2937453255255,1.0000000000001217,235.78807595858163
2025-10-14,5,ai for executives,A,Exact match,24.77771487457037,264.63953178916665,1.0000000000001212,239.86181691459328
2025-10-14,6,ai for executives,USA,Exact match,24.77771487456967,268.38152962727906,1.000000000000004,243.6038147527093
2025-10-14,7,artificial intelligence bootcamp online,USA,Exact match,24.527483965439522,242.75067418176263,1.0000000000000044,218.223190216323
2025-10-14,8,artificial intelligence bootcamp online,USA,Phrase match,18.914566842839857,204.72436089703888,1.0000000000000049,185.80979405419893
2025-10-14,9,artificial intelligence bootcamp online,A,Phrase match,18.671915345383066,199.10402694297142,1.0000000000000058,180.43211159758823
2025-10-14,10,ai executive education,B,Exact match,12.868244001360297,158.28388836439126,1.0000000000000062,145.41564436303088
2025-10-15,1,ai graphic design course,USA,Exact match,48.85199367995246,491.36672658751615,1.0000000000002363,442.5147329075522
2025-10-15,2,ai graphic design course,A,Exact match,48.85199367995178,489.3709944071793,1.0000000000001226,440.5190007272215
2025-10-15,3,best place to study artificial intelligence,A,Exact match,33.958208295595284,339.2109339566324,1.0000000000000062,305.2527256610369
2025-10-15,4,generative ai fundamentals,A,Exact match,28.21142041024745,281.86389591363536,1.0000000000002345,253.6524755033813
2025-10-15,5,generative ai fundamentals,USA,Exact match,28.211420410246085,281.863895913622,1.000000000000007,253.6524755033757
2025-10-15,6,artificial intelligence bootcamp online,USA,Exact match,24.52748396543952,242.7506741817626,1.0000000000000036,218.223190216323
2025-10-15,7,best place to study artificial intelligence,C,Exact match,21.842945630505277,225.00748189773338,1.0000000000000027,203.16453626722804
2025-10-15,8,best place to study artificial intelligence,C,Phrase match,18.65654348247496,196.03533539339617,1.000000000000234,177.37879191091685
2025-10-15,9,ai executive education,USA,Exact match,12.38294100644807,134.81936085174686,1.0000000000002338,122.4364198452959
2025-10-15,10,ai executive education,A,Exact match,12.14028950898991,401.45908165710574,5.6306387440125585,333.10149718425794
2025-10-16,1,ai graphic design course,B,Exact match,48.851993679949,494.3603248579776,0.9999999999996589,445.5083311780453
2025-10-16,2,ai graphic design course,A,Exact match,48.851993679126856,489.3709943990974,0.9999999998626663,440.51900072667956
2025-10-16,3,generative ai fundamentals,B,Exact match,28.211420410246767,298.7683495930986,1.28327045213475,262.5654673678777
2025-10-16,4,generative ai fundamentals,A,Exact match,28.211420410243996,306.997872658848,1.4232393814243407,266.8462681250703
2025-10-16,5,ai for executives,B,Exact match,25.50566936693799,261.2937453254983,0.9999999999996589,235.78807595856904
2025-10-16,6,artificial intelligence bootcamp online,USA,Exact match,24.5274839654421,242.7506741817879,1.0000000000004343,218.22319021633515
2025-10-16,7,ai executive education,A,Exact match,12.140289508992472,401.45908165713087,5.630638744012986,333.10149718426345
2025-10-16,8,best ai classes online,A,Phrase match,8.840740663853332,129.6889830668307,1.4332371620879127,117.01810500701434
2025-10-16,9,best ai classes online,USA,Phrase match,6.414225687780944,91.91941817985006,0.9999999997489752,85.50519249367925
2025-10-16,10,AI for business,A,Phrase match,5.9799124677376945,113.90986973782103,1.000000000000199,107.92995727008214
2025-10-17,1,ai graphic design course,A,Exact match,48.85199367995382,489.37099440719925,1.0000000000004636,440.51900072722276
2025-10-17,2,best place to study artificial intelligence,USA,Exact match,33.95820829559665,343.70133136238877,1.0000000000002336,309.74312306678416
2025-10-17,3,best place to study artificial intelligence,B,Exact match,33.9582082955953,341.2066661369627,1.0000000000000089,307.2484578413671
2025-10-17,4,generative ai fundamentals,A,Exact match,28.211420410246735,306.07169302916236,1.4032438200976456,266.484191682307
2025-10-17,5,generative ai fundamentals,B,Exact match,28.211420410246085,282.36282895870454,1.000000000000007,254.15140854845825
2025-10-17,6,ai for executives,B,Exact match,25.505669366940058,261.29374532551856,1.0000000000000036,235.78807595857842
2025-10-17,7,artificial intelligence bootcamp online,USA,Exact match,24.517483964818275,242.65270366298842,0.9983337031192239,218.17607310522519
2025-10-17,8,best place to study artificial intelligence,C,Exact match,21.842945630506613,225.00748189774646,1.0000000000002252,203.16453626723492
2025-10-17,9,ai executive education,USA,Exact match,12.382941006447385,134.81936085174019,1.0000000000001197,122.43641984529131
2025-10-17,10,ai for executives course,B,Phrase match,9.783975997137091,114.22524635249263,1.0000000000001195,104.44127035535438
2025-10-18,1,ai graphic design course,A,Exact match,48.85199367995108,489.37099440717236,1.0000000000000053,440.519000727221
2025-10-18,2,best place to study artificial intelligence,B,Exact match,33.95820829559527,341.2066661369625,1.0000000000000044,307.2484578413671
2025-10-18,3,generative ai fundamentals,USA,Exact match,28.211420410246088,281.863895913622,1.000000000000008,253.65247550337568
2025-10-18,4,ai for executives,B,Exact match,25.505669366940765,261.2937453255255,1.0000000000001217,235.78807595858163
2025-10-18,5,ai for executives,A,Exact match,24.77771487457037,264.63953178916665,1.0000000000001212,239.86181691459328
2025-10-18,6,best place to study artificial intelligence,C,Exact match,21.842945630505284,225.00748189773344,1.000000000000004,203.16453626722807
2025-10-18,7,artificial intelligence bootcamp online,USA,Phrase match,18.914566842839875,204.72436089703905,1.000000000000008,185.80979405419902
2025-10-18,8,artificial intelligence bootcamp online,A,Phrase match,18.671915345383752,199.10402694297812,1.0000000000001203,180.43211159759213
2025-10-18,9,ai executive education,A,Exact match,12.140289508989898,401.4590816571056,5.630638744012557,333.10149718425794
2025-10-18,10,generative ai courses online,B,Exact match,9.595264578991777,112.37708040299124,1.00000000000012,102.78181582399831
2025-10-19,1,ai graphic design course,A,Exact match,48.85199367995178,489.3709944071793,1.0000000000001226,440.5190007272215
2025-10-19,2,best place to study artificial intelligence,A,Exact match,33.95820829559665,339.2109339566457,1.0000000000002336,305.25272566104115
2025-10-19,3,best place to study artificial intelligence,B,Exact match,33.95820829559597,341.2066661369694,1.0000000000001217,307.24845784136926
2025-10-19,4,generative ai fundamentals,A,Exact match,28.21142041024677,306.0716930291627,1.4032438200976518,266.48419168230714
2025-10-19,5,ai for executives,B,Exact match,25.505669366941444,261.2937453255322,1.0000000000002345,235.78807595858478
2025-10-19,6,best place to study artificial intelligence,C,Exact match,21.82286873195246,224.81078749329333,0.9966545928644042,203.0609251421159
2025-10-19,7,artificial intelligence bootcamp online,A,Phrase match,18.671915345383766,199.1040269429783,1.0000000000001226,180.43211159759224
2025-10-19,8,ai executive education,USA,Exact match,12.341188849382002,134.41031282838838,0.9930428515239391,122.15498346220264
2025-10-19,9,AI for business,USA,Exact match,9.408966113226402,152.74328107944314,1.000000000000233,143.33431496621455
2025-10-19,10,ai for business leaders,B,Exact match,9.385177935371544,153.79143695026085,1.0000000000002336,144.4062590148871
2025-10-20,1,ai graphic design course,A,Exact match,48.851993679949,489.370994407152,0.9999999999996589,440.5190007272197
2025-10-20,2,ai graphic design course,B,Exact match,48.851993679949,494.3603248579776,0.9999999999996589,445.5083311780453
2025-10-20,3,best place to study artificial intelligence,B,Exact match,33.958208295593195,341.20666613694215,0.999999999999658,307.24845784136056
2025-10-20,4,best place to study artificial intelligence,USA,Exact match,33.958208295593195,343.70133136235495,0.999999999999658,309.74312306677336
2025-10-20,5,artificial intelligence stanford online,B,Phrase match,13.590589633497679,135.35984041535227,0.9999999999996589,121.76925078185923
2025-10-20,6,ai for executives,B,Exact match,13.216021585769424,140.89143593812224,-1.0478200491456109,154.73944832563262
2025-10-20,7,ai executive education,A,Exact match,12.140289508987815,401.4590816570852,5.630638744012209,333.1014971842535
2025-10-20,8,executive education ai,USA,Exact match,11.376614750082489,145.3300982141097,0.9999999999996565,133.95348346403114
2025-10-20,9,course generator ai,A,Exact match,10.581943341561027,154.2922545076962,1.1799600519440097,141.80598409271929
2025-10-20,10,best ai classes online,B,Exact match,9.600627837317077,123.63569644689395,0.9999999999996574,114.03506860958015
2025-10-21,1,ai graphic design course,A,Exact match,48.8519936799511,489.3709944071726,1.0000000000000089,440.51900072722106
2025-10-21,2,best place to study artificial intelligence,B,Exact match,33.95820829559597,341.2066661369694,1.0000000000001217,307.24845784136926
2025-10-21,3,best place to study artificial intelligence,USA,Exact match,33.95820829559529,343.70133136237547,1.000000000000008,309.7431230667799
2025-10-21,4,generative ai fundamentals,USA,Exact match,28.21142041024677,281.8638959136287,1.0000000000001217,253.6524755033785
2025-10-21,5,generative ai fundamentals,B,Exact match,28.21142041024677,283.6101615714177,1.0000000000001217,255.39874116116746
2025-10-21,6,generative ai fundamentals,A,Exact match,28.21142041024677,283.36069504887644,1.0000000000001217,255.14927463862622
2025-10-21,7,ai for executives,B,Exact match,25.505669366940083,261.29374532551884,1.000000000000008,235.78807595857856
2025-10-21,8,ai executive education,USA,Exact match,12.382941006446707,134.81936085173353,1.0000000000000064,122.43641984528675
2025-10-21,9,executive education ai,A,Exact match,11.861917744998854,163.30636223088644,1.0000000000001186,151.44444448588618
2025-10-21,10,AI for business,B,Exact match,9.16631461576822,140.88628406183005,1.0000000000000022,131.7199694460618
2025-10-22,1,ai graphic design course,USA,Exact match,48.851993679949,491.3667265874823,0.9999999999996589,442.51473290754996
2025-10-22,2,ai graphic design course,A,Exact match,48.85199367832715,489.3709943912626,0.9999999997294111,440.5190007261543
2025-10-22,3,generative ai fundamentals,A,Exact match,28.211420410248593,283.6101615714355,1.0000000000004245,255.39874116117497
2025-10-22,4,artificial intelligence bootcamp online,USA,Exact match,24.527483963796573,242.75067416566657,0.9999999997262403,218.22319020858464
2025-10-22,5,artificial intelligence bootcamp online,USA,Phrase match,18.914566842842472,204.72436089706446,1.000000000000441,185.80979405421365
2025-10-22,6,ai executive education,USA,Exact match,12.38294100644461,134.819360851713,0.9999999999996574,122.43641984527261
2025-10-22,7,ai executive education,A,Exact match,12.140289508990605,401.45908165711256,5.630638744012675,333.1014971842594
2025-10-22,8,generative ai fundamentals,USA,Exact match,9.187260016971065,95.48322119518288,-2.169989715343943,115.4194809442007
2025-10-22,9,AI for business,USA,Phrase match,5.9799124677376945,113.90986973782103,1.000000000000199,107.92995727008214
2025-10-22,10,AI for business,A,Phrase match,5.9799124677376945,113.90986973782103,1.000000000000199,107.92995727008214
2025-10-23,1,ai graphic design course,A,Exact match,48.85199367995178,489.3709944071793,1.0000000000001226,440.5190007272215
2025-10-23,2,ai graphic design course,USA,Exact match,48.851993679951775,491.36672658750945,1.0000000000001226,442.51473290755166
2025-10-23,3,best place to study artificial intelligence,USA,Exact match,33.95820829559525,343.7013313623751,1.0000000000000009,309.7431230667798
2025-10-23,4,generative ai fundamentals,A,Exact match,28.211420410248813,283.6101615714377,1.0000000000004619,255.39874116117585
2025-10-23,5,generative ai fundamentals,USA,Exact match,28.21142041024607,281.86389591362183,1.0000000000000044,253.65247550337563
2025-10-23,6,ai for executives,B,Exact match,25.505669366940097,261.293745325519,1.0000000000000098,235.78807595857867
2025-10-23,7,ai for executives,USA,Exact match,24.777714874567597,268.3815296272587,0.9999999999996585,243.60381475269958
2025-10-23,8,AI for engineers,B,Exact match,20.090184416381362,242.95353765480263,1.0000000000000102,222.86335323842107
2025-10-23,9,artificial intelligence bootcamp online,A,Phrase match,18.671915345383766,199.1040269429783,1.0000000000001226,180.43211159759224
2025-10-23,10,ai executive education,USA,Exact match,12.372941004868629,134.7213903235852,0.9983337029597894,122.36906631369169
2025-10-24,1,ai graphic design course,USA,Exact match,48.85199367995246,491.36672658751615,1.0000000000002363,442.5147329075522
2025-10-24,2,ai graphic design course,A,Exact match,48.85199367995108,489.37099440717236,1.0000000000000053,440.519000727221
2025-10-24,3,best place to study artificial intelligence,B,Exact match,33.825568693482005,339.907189154788,0.9778983058461321,306.82922283515
2025-10-24,4,best place to study artificial intelligence,A,Phrase match,29.558548660279587,315.8150982250168,1.0000000000000044,286.2565495647371
2025-10-24,5,generative ai fundamentals,A,Exact match,28.211420410246095,283.610161571411,1.0000000000000089,255.39874116116468
2025-10-24,6,generative ai fundamentals,B,Exact match,28.211420410246095,283.610161571411,1.0000000000000089,255.39874116116468
2025-10-24,7,generative ai fundamentals,USA,Exact match,28.21142041024607,281.86389591362183,1.0000000000000044,253.65247550337563
2025-10-24,8,ai executive education,A,Exact match,12.140289508989898,401.4590816571056,5.630638744012557,333.10149718425794
2025-10-24,9,executive education ai,A,Exact match,11.861917744998197,163.30636223087998,1.000000000000009,151.4444444858817
